Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776172979,50,,Aggregated,12.400000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,402,0,2013.175800035242,2045.517911442552,2013.175800035242,2096.0644999868236,3157.3034825870645
1776172980,50,,Aggregated,12.900000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,417,0,2013.175800035242,2045.671576738181,2013.175800035242,2096.0644999868236,3129.4988009592325
1776172981,50,,Aggregated,12.900000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,430,0,2013.175800035242,2045.7410369764168,2013.175800035242,2096.0644999868236,3131.9627906976743
1776172982,50,,Aggregated,12.800000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,446,0,2013.175800035242,2045.6222470850014,2013.175800035242,2096.0644999868236,3140.7869955156953
1776172983,50,,Aggregated,12.100000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,454,0,2013.175800035242,2045.5519925104968,2013.175800035242,2096.0644999868236,3164.20704845815
1776172984,50,,Aggregated,13.300000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,467,0,2013.175800035242,2045.8338336183488,2013.175800035242,2096.0644999868236,3204.6509635974303
1776172985,50,,Aggregated,12.900000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,481,0,2013.175800035242,2045.8648640325046,2013.175800035242,2096.0644999868236,3205.1787941787943
1776172986,50,,Aggregated,12.900000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,493,0,2013.175800035242,2045.9094269769776,2013.175800035242,2096.0644999868236,3170.1541582150103
1776172987,50,,Aggregated,12.600000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,506,0,2013.175800035242,2045.835928260275,2013.175800035242,2096.0644999868236,3137.922924901186
1776172988,50,,Aggregated,12.700000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,519,0,2013.175800035242,2045.8137524077133,2013.175800035242,2096.0644999868236,3200.782273603083
1776172989,50,,Aggregated,12.600000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,532,0,2013.175800035242,2045.9270052622987,2013.175800035242,2096.0644999868236,3226.095864661654
1776172990,50,,Aggregated,12.500000,0.000000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,546,0,2013.175800035242,2045.96065036567,2013.175800035242,2096.0644999868236,3243.510989010989
1776172991,50,,Aggregated,12.600000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,559,0,2013.175800035242,2046.0307547398377,2013.175800035242,2096.0644999868236,3212.3076923076924
1776172992,50,,Aggregated,12.500000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,564,0,2013.175800035242,2045.9180393609001,2013.175800035242,2096.0644999868236,3204.6879432624114
1776172993,50,,Aggregated,13.300000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,578,0,2013.175800035242,2045.833685639283,2013.175800035242,2096.0644999868236,3201.3391003460206
1776172994,50,,Aggregated,11.800000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,594,0,2013.175800035242,2045.7641217163418,2013.175800035242,2096.0644999868236,3176.656565656566
1776172995,50,,Aggregated,12.300000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,610,0,2013.175800035242,2045.5399575401823,2013.175800035242,2096.0644999868236,3173.6311475409834
1776172996,50,,Aggregated,12.400000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,622,0,2008.686300017871,2045.232973954269,2008.686300017871,2096.0644999868236,3148.33922829582
1776172997,50,,Aggregated,12.500000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,637,0,2008.686300017871,2044.916678806131,2008.686300017871,2096.0644999868236,3143.8335949764523
1776172998,50,,Aggregated,13.000000,0.000000,2000,2000,2100,2100,2100,2100,2100,2100,2100,2100,2100,652,0,2008.686300017871,2044.5079395698028,2008.686300017871,2096.0644999868236,3180.8159509202455
